regiao,uf,faixa_rendimento,qtd_testes_positivos
Norte,Amazonas,601 - 800,35
Norte,Pará,301 - 600,26
Norte,Roraima,301 - 600,24
Norte,Amazonas,101 - 300,23
Norte,Pará,10.001 - 50.000,22
Norte,Roraima,10.001 - 50.000,20
Norte,Pará,101 - 300,19
Norte,Roraima,601 - 800,14
Norte,Amapá,301 - 600,14
Norte,Acre,301 - 600,13
Norte,Roraima,101 - 300,13
Norte,Tocantins,601 - 800,12
Norte,Pará,601 - 800,12
Norte,Amazonas,10.001 - 50.000,11
Norte,Tocantins,301 - 600,11
Norte,Tocantins,10.001 - 50.000,9
Norte,Acre,601 - 800,9
Norte,Acre,101 - 300,7
Norte,Tocantins,101 - 300,6
Norte,Amapá,601 - 800,6
Norte,Pará,0 - 100,5
Norte,Rondônia,301 - 600,5
Norte,Amapá,101 - 300,5
Norte,Amapá,10.001 - 50.000,5
Norte,Acre,10.001 - 50.000,4
Norte,Roraima,0 - 100,4
Norte,Rondônia,601 - 800,3
Norte,Acre,0 - 100,3
Norte,Rondônia,101 - 300,2
Norte,Tocantins,0 - 100,1
Sudeste,São Paulo,1.601 - 3.000,498
Sudeste,Rio de Janeiro,801 - 1.600,472
Sudeste,São Paulo,801 - 1.600,442
Sudeste,Espírito Santo,801 - 1.600,377
Sudeste,Minas Gerais,801 - 1.600,362
Sudeste,Rio de Janeiro,1.601 - 3.000,305
Sudeste,São Paulo,3.001 - 10.000,304
Sudeste,Rio de Janeiro,3.001 - 10.000,300
Sudeste,Minas Gerais,1.601 - 3.000,292
Sudeste,Espírito Santo,1.601 - 3.000,272
Sudeste,Minas Gerais,3.001 - 10.000,198
Sudeste,Espírito Santo,3.001 - 10.000,141
Sudeste,Rio de Janeiro,10.001 - 50.000,86
Sudeste,São Paulo,10.001 - 50.000,70
Sudeste,Minas Gerais,10.001 - 50.000,50
Sudeste,Espírito Santo,301 - 600,34
Sudeste,Rio de Janeiro,301 - 600,23
Sudeste,Rio de Janeiro,601 - 800,22
Sudeste,São Paulo,301 - 600,22
Sudeste,Minas Gerais,301 - 600,22
Sudeste,Espírito Santo,601 - 800,22
Sudeste,Espírito Santo,10.001 - 50.000,18
Sudeste,São Paulo,601 - 800,18
Sudeste,Minas Gerais,601 - 800,16
Sudeste,Espírito Santo,101 - 300,7
Sudeste,Minas Gerais,50.001 - 100.000,3
Sudeste,Minas Gerais,101 - 300,3
Sudeste,São Paulo,101 - 300,2
Sudeste,Rio de Janeiro,101 - 300,1
Sul,Santa Catarina,1.601 - 3.000,427
Sul,Santa Catarina,801 - 1.600,326
Sul,Paraná,801 - 1.600,275
Sul,Rio Grande do Sul,1.601 - 3.000,243
Sul,Rio Grande do Sul,801 - 1.600,235
Sul,Santa Catarina,3.001 - 10.000,207
Sul,Paraná,1.601 - 3.000,199
Sul,Rio Grande do Sul,3.001 - 10.000,194
Sul,Paraná,3.001 - 10.000,162
Sul,Rio Grande do Sul,10.001 - 50.000,35
Sul,Santa Catarina,10.001 - 50.000,26
Sul,Paraná,10.001 - 50.000,25
Sul,Paraná,301 - 600,17
Sul,Paraná,601 - 800,14
Sul,Rio Grande do Sul,301 - 600,13
Sul,Santa Catarina,301 - 600,12
Sul,Rio Grande do Sul,601 - 800,9
Sul,Santa Catarina,601 - 800,8
Sul,Rio Grande do Sul,101 - 300,5
Sul,Paraná,50.001 - 100.000,3
Sul,Rio Grande do Sul,0 - 100,3
Sul,Santa Catarina,0 - 100,2
Sul,Rio Grande do Sul,50.001 - 100.000,1
Sul,Paraná,101 - 300,1
Sul,Paraná,0 - 100,1
